symbol,meta,mass_num,is_stable,half_life_s,decay_const,decay_unc
Pb,,201,False,33588.0,2.0636750641894285e-05,1.1059351898121267e-07
Tl,,201,False,262837.44,2.637170642660137e-06,1.4737155558733223e-09
Tl,,202,False,1077459.8399999999,6.43316024251953e-07,2.837263751051066e-10
Hg,,203,False,4025721.6,1.7217961136705163e-07,4.4343806850766607e-11
Pb,,203,False,186944.4,3.707771832480381e-06,7.140079401645287e-10
Tl,,204,False,119537734.176,5.798563820353145e-09,2.296157795810379e-11
Pb,,205,False,536468184000000.0,1.2920564559704537e-15,6.840298884549461e-17
Bi,,206,False,539395.2000000001,1.2850451404831656e-06,6.175132823081045e-10
Hg,,206,False,499.20000000000005,0.0013885159866986081,1.1682225849627712e-05
Tl,,206,False,252.12,0.002749274871330895,7.197054636991871e-06
Bi,,207,False,1038223720.8,6.67627955972575e-10,2.840970025415213e-11
Tl,,207,False,286.44,0.002419868665549313,6.082619184455751e-06
Tl,,208,False,183.48,0.003777780578591374,7.412257511951683e-06
Bi,,209,False,6e+26,1.16e-27,1.2e-28
Pb,,209,False,11797.2,5.8755228406735944e-05,2.6894367595393323e-07
Po,,209,False,3629049480.0,1.909996500130236e-10,2.1591264784080928e-11
Tl,,209,False,129.66,0.005345882928890524,1.7316603656748576e-05
At,,210,False,29160.0,2.3770479443070827e-05,1.1738508366948555e-06
Bi,,210,False,432950.4,1.6009851949783284e-06,1.597470759307851e-09
Pb,,210,False,701511042.96,9.880773617407877e-10,5.3337509405710535e-12
Po,,210,False,11955712.319999998,5.797623445659701e-08,7.122577968641664e-13
Tl,,210,False,78.0,0.008886502314871094,0.00020507313034317907
At,,211,False,25977.600000000002,2.668249494025411e-05,2.5883794980845173e-08
Bi,,211,False,129.0,0.005373233957829033,4.9983571700735186e-05
Pb,,211,False,2166.0,0.0003200125487349701,1.7729227076729646e-06
Po,,211,False,0.516,1.3433084894572582,0.007809933078239874
Po,m,211,False,25.2,0.0275,0.0007
Bi,,212,False,3632.4,0.00019082347223872516,1.8912137982034208e-07
Pb,,212,False,38268.0,1.811297116546319e-05,1.1927638584971055e-08
Po,,212,False,3.0000000000000004e-07,2310490.601866484,15403.270679109894
Bi,,213,False,2735.4,0.00025339883766905944,3.3349265760349997e-07
Po,,213,False,3.7e-06,187337.07582701225,2531.5821057704356
Bi,,214,False,1188.0,0.0005834572226935566,2.946753649967458e-06
Pb,,214,False,1614.96,0.0004292039310942347,7.016262805820451e-07
Po,,214,False,0.00016230000000000001,4270.77745261827,31.57691277351771
At,,215,False,0.0001,6931.471805599453,1386.2943611198907
Bi,,215,False,456.0,0.001520059606491108,4.0001568591871264e-05
Po,,215,False,0.001781,389.1898824031136,0.8740929419497215
At,,216,False,0.0003,2310.4906018664847,231.0490601866485
Po,,216,False,0.148,4.683426895675306,0.1265791052885218
Rn,,216,False,4.4999999999999996e-05,15403.270679109897,1711.4745199010995
At,,217,False,0.032299999999999995,21.459665032815646,0.26575436573146316
Rn,,217,False,0.00054,1283.6058899258246,118.85239721535415
At,,218,False,1.4,0.49510512897138953,0.07072930413876995
Po,,218,False,184.26000000000002,0.0037617886712251448,2.694866517973076e-05
Rn,,218,False,0.036000000000000004,19.254088348887368,1.0161879961912779
At,,219,False,56.0,0.012377628224284737,0.0008841163017346239
Rn,,219,False,3.98,0.17415758305526263,0.001312745600919065
Fr,,220,False,27.4,0.0253,0.00028
Ra,,220,False,0.018000000000000002,38.508176697774736,4.278686299752748
Rn,,220,False,55.8,0.012421992483153142,6.678490582340401e-05
Fr,,221,False,287.4,0.002411785596937875,1.0070085999740607e-05
Ra,,221,False,28.0,0.0248,0.0018
Rn,,222,False,330324.48,2.0983827191976367e-06,4.3908405925876484e-10
Fr,,223,False,1320.0,0.000525111500424201,1.6708093195315485e-06
Ra,,223,False,987552.0,7.018842355237448e-07,1.8422158412696713e-09
Ac,,224,False,10008.0,6.925931060750853e-05,4.235281583912392e-06
Fr,,224,False,199.8,0.0034692051079076337,0.00010418033357079982
Ra,,224,False,313718.39999999997,2.2094565717533476e-06,1.216996183835499e-09
Ac,,225,False,856846.08,8.089518021252374e-07,1.7129822777225415e-10
Ra,,225,False,1280448.0,5.413317686934146e-07,6.940150880684802e-09
Ra,,226,False,50491123200.0,1.3728099844686071e-11,6.006043682050157e-14
